index,roi_name,hemisphere,region_full_name,functional_system,sub_system
27,R_STV_ROI,Right,Superior Temporal Visual Area,VentralAttention,Temporal
28,R_7Pm_ROI,Right,Medial Area 7P,DorsalAttention,Parietal
29,R_7m_ROI,Right,Medial Area 7 (Precuneus),DorsalAttention,Parietal
30,R_POS1_ROI,Right,Parieto-Occipital Sulcus Area 1,Visual,Dorsal
31,R_23d_ROI,Right,Dorsal Area 23 (Posterior Cingulate),DefaultMode,PosteriorCingulate
32,R_v23ab_ROI,Right,Ventral Area 23a-b,DefaultMode,PosteriorCingulate
33,R_d23ab_ROI,Right,Dorsal Area 23a-b,DefaultMode,PosteriorCingulate
34,R_31pv_ROI,Right,Ventral Area 31,DefaultMode,PosteriorCingulate
35,R_5m_ROI,Right,Medial Area 5 (Superior Parietal Lobule),Somatosensory,Association
36,R_5mv_ROI,Right,Medioventral Area 5,Somatosensory,Association
37,R_23c_ROI,Right,Central Area 23,DefaultMode,PosteriorCingulate
38,R_5L_ROI,Right,Lateral Area 5,Somatosensory,Association
39,R_24dd_ROI,Right,Dorsal Area 24d,CinguloOpercular,AnteriorCingulate
40,R_24dv_ROI,Right,Ventral Area 24d,CinguloOpercular,AnteriorCingulate
41,R_7AL_ROI,Right,Anterolateral Area 7,DorsalAttention,Parietal
42,R_SCEF_ROI,Right,Supplementary and Cingulate Eye Field,Motor,Eye
43,R_6ma_ROI,Right,"Medial Area 6, anterior",Motor,Supplementary
44,R_7Am_ROI,Right,Anteromedial Area 7,DorsalAttention,Parietal
45,R_7PL_ROI,Right,Posterolateral Area 7,DorsalAttention,Parietal
46,R_7PC_ROI,Right,Superior Parietal Area 7PC,DorsalAttention,Parietal
47,R_LIPv_ROI,Right,"Lateral Intraparietal Area, ventral",DorsalAttention,Parietal
48,R_VIP_ROI,Right,Ventral Intraparietal Area,DorsalAttention,Parietal
49,R_MIP_ROI,Right,Medial Intraparietal Area,DorsalAttention,Parietal
50,R_1_ROI,Right,"Primary Somatosensory Cortex, Area 1",Somatosensory,Primary
51,R_2_ROI,Right,"Primary Somatosensory Cortex, Area 2",Somatosensory,Primary
52,R_3a_ROI,Right,"Primary Somatosensory Cortex, Area 3a",Somatosensory,Primary
53,R_6d_ROI,Right,"Dorsal Premotor Cortex, Area 6d",Motor,Premotor
54,R_6mp_ROI,Right,"Medial Area 6, posterior",Motor,Supplementary
55,R_6v_ROI,Right,"Ventral Premotor Cortex, Area 6v",Motor,Premotor
56,R_p24pr_ROI,Right,Pregenual Posterior Cingulate 24,CinguloOpercular,MidCingulate
57,R_33pr_ROI,Right,Pregenual Area 33,CinguloOpercular,AnteriorCingulate
58,R_a24pr_ROI,Right,Pregenual Anterior Cingulate 24,CinguloOpercular,AnteriorCingulate
59,R_p32pr_ROI,Right,Pregenual Posterior Area 32,CinguloOpercular,AnteriorCingulate
60,R_a24_ROI,Right,Anterior Cingulate Area 24,CinguloOpercular,AnteriorCingulate
61,R_d32_ROI,Right,Dorsal Area 32,CinguloOpercular,AnteriorCingulate
62,R_8BM_ROI,Right,Medial Area 8B,DefaultMode,Prefrontal
63,R_p32_ROI,Right,Posterior Area 32,CinguloOpercular,AnteriorCingulate
64,R_10r_ROI,Right,Rostral Area 10,DefaultMode,Prefrontal
65,R_47m_ROI,Right,Medial Area 47 (Orbitofrontal),Limbic,Orbitofrontal
66,R_8Av_ROI,Right,Ventral Area 8A,DefaultMode,Prefrontal
67,R_8Ad_ROI,Right,Dorsal Area 8A,DefaultMode,Prefrontal
68,R_9m_ROI,Right,Medial Area 9,DefaultMode,Prefrontal
69,R_8BL_ROI,Right,Lateral Area 8B,DefaultMode,Prefrontal
70,R_9p_ROI,Right,Posterior Area 9,DefaultMode,Prefrontal
71,R_10d_ROI,Right,Dorsal Area 10 (Frontopolar),DefaultMode,Prefrontal
72,R_8C_ROI,Right,Area 8C (Frontal Eye Field region),DefaultMode,Prefrontal
73,R_44_ROI,Right,"Area 44 (Pars Opercularis, Broca's Area)",Language,Broca
74,R_45_ROI,Right,"Area 45 (Pars Triangularis, Broca's Area)",Language,Broca
75,R_47l_ROI,Right,Lateral Area 47,Limbic,Orbitofrontal
76,R_a47r_ROI,Right,Rostral Area 47,Limbic,Orbitofrontal
77,R_6r_ROI,Right,Rostral Premotor Cortex,Motor,Premotor
78,R_IFJa_ROI,Right,Anterior Inferior Frontal Junction,Frontoparietal,IFJ
79,R_IFJp_ROI,Right,Posterior Inferior Frontal Junction,Frontoparietal,IFJ
80,R_IFSp_ROI,Right,Posterior Inferior Frontal Sulcus,Frontoparietal,IFS
81,R_IFSa_ROI,Right,Anterior Inferior Frontal Sulcus,Frontoparietal,IFS
82,R_p9-46v_ROI,Right,Posterior Ventral Area 9-46,Frontoparietal,VLPFC
83,R_46_ROI,Right,Area 46 (Dorsolateral Prefrontal),Frontoparietal,DLPFC
84,R_a9-46v_ROI,Right,Anterior Ventral Area 9-46,Frontoparietal,VLPFC
85,R_9-46d_ROI,Right,Dorsolateral Area 9-46,Frontoparietal,DLPFC
86,R_9a_ROI,Right,Anterior Area 9,DefaultMode,Prefrontal
87,R_10v_ROI,Right,Ventral Area 10,DefaultMode,Prefrontal
88,R_a10p_ROI,Right,Anterior Polar Area 10,DefaultMode,Prefrontal
89,R_10pp_ROI,Right,Polar Area 10,DefaultMode,Prefrontal
90,R_11l_ROI,Right,Lateral Area 11,Limbic,Orbitofrontal
91,R_13l_ROI,Right,Lateral Area 13,Limbic,Orbitofrontal
92,R_OFC_ROI,Right,Orbital Frontal Complex,Limbic,Orbitofrontal
93,R_47s_ROI,Right,Subcentral Area 47,Limbic,Orbitofrontal
94,R_LIPd_ROI,Right,"Lateral Intraparietal Area, dorsal",DorsalAttention,Parietal
95,R_6a_ROI,Right,"Anterior Premotor Cortex, Area 6a",Motor,Premotor
96,R_i6-8_ROI,Right,Inferior Area 6-8 Transition,Frontoparietal,Premotor
97,R_s6-8_ROI,Right,Superior Area 6-8 Transition,Frontoparietal,Premotor
98,R_43_ROI,Right,Area 43 (Gustatory Cortex),Other,Other
99,R_OP4_ROI,Right,Parietal Operculum 4,Somatosensory,Operculum
100,R_OP1_ROI,Right,Parietal Operculum 1,Somatosensory,Operculum
101,R_OP2-3_ROI,Right,Parietal Operculum 2-3,Somatosensory,Operculum
102,R_52_ROI,Right,Parainsular Area,Language,Parainsular
103,R_RI_ROI,Right,Retroinsular Cortex,Language,Retroinsular
104,R_PFcm_ROI,Right,Area PFcm (Inferior Parietal),DefaultMode,Parietal
105,R_PoI2_ROI,Right,Posterior Insula 2,CinguloOpercular,Insula
106,R_TA2_ROI,Right,Auditory Area TA2,Auditory,Association
107,R_FOP4_ROI,Right,Frontal Opercular Area 4,CinguloOpercular,FrontalOperculum
108,R_MI_ROI,Right,Middle Insular Area,CinguloOpercular,Insula
109,R_Pir_ROI,Right,Piriform Cortex,Limbic,Piriform
110,R_AVI_ROI,Right,Anterior Ventral Insular Area,CinguloOpercular,Insula
111,R_AAIC_ROI,Right,Anterior Agranular Insula Complex,CinguloOpercular,Insula
112,R_FOP1_ROI,Right,Frontal Opercular Area 1,CinguloOpercular,FrontalOperculum
113,R_FOP3_ROI,Right,Frontal Opercular Area 3,CinguloOpercular,FrontalOperculum
114,R_FOP2_ROI,Right,Frontal Opercular Area 2,CinguloOpercular,FrontalOperculum
115,R_PFt_ROI,Right,Transitional Area PF,DefaultMode,Parietal
116,R_AIP_ROI,Right,Anterior Intraparietal Area,VentralAttention,Parietal
117,R_EC_ROI,Right,Entorhinal Cortex,Limbic,MedialTemporal
118,R_PreS_ROI,Right,Presubiculum,Limbic,MedialTemporal
119,R_H_ROI,Right,Hippocampus (Cortical),Limbic,MedialTemporal
120,R_ProS_ROI,Right,Prosubiculum,Limbic,MedialTemporal
121,R_PeEc_ROI,Right,Perirhinal Ectocortex,Limbic,MedialTemporal
122,R_STGa_ROI,Right,Anterior Superior Temporal Gyrus,VentralAttention,Temporal
123,R_PBelt_ROI,Right,Auditory Parabelt Complex (Posterior),Auditory,Belt
124,R_A5_ROI,Right,Auditory Area 5,Auditory,Association
125,R_PHA1_ROI,Right,Parahippocampal Area 1,Limbic,Parahippocampal
126,R_PHA3_ROI,Right,Parahippocampal Area 3,Limbic,Parahippocampal
127,R_STSda_ROI,Right,Anterior Dorsal Superior Temporal Sulcus,VentralAttention,Temporal
128,R_STSdp_ROI,Right,Posterior Dorsal Superior Temporal Sulcus,VentralAttention,Temporal
129,R_STSvp_ROI,Right,Posterior Ventral Superior Temporal Sulcus,VentralAttention,Temporal
130,R_TGd_ROI,Right,Dorsal Temporal Gyrus,Temporal,Association
131,R_TE1a_ROI,Right,Anterior TE1 (Inferotemporal),Temporal,Inferotemporal
132,R_TE1p_ROI,Right,Posterior TE1,Temporal,Inferotemporal
133,R_TE2a_ROI,Right,Anterior TE2,Temporal,Inferotemporal
134,R_TF_ROI,Right,Area TF (Parahippocampal),Limbic,Parahippocampal
135,R_TE2p_ROI,Right,Posterior TE2,Temporal,Inferotemporal
136,R_PHT_ROI,Right,Posterior Parahippocampal Area,Limbic,Parahippocampal
137,R_PH_ROI,Right,Parahippocampal Area,Limbic,Parahippocampal
138,R_TPOJ1_ROI,Right,Temporoparietal Occipital Junction 1,VentralAttention,Junction
139,R_TPOJ2_ROI,Right,Temporoparietal Occipital Junction 2,VentralAttention,Junction
140,R_TPOJ3_ROI,Right,Temporoparietal Occipital Junction 3,VentralAttention,Junction
141,R_DVT_ROI,Right,Dorsal Transitional Visual Area,Visual,Dorsal
142,R_PGp_ROI,Right,Posterior Area PG,DefaultMode,Parietal
143,R_IP2_ROI,Right,Intraparietal Area 2,DorsalAttention,Parietal
144,R_IP1_ROI,Right,Intraparietal Area 1,DorsalAttention,Parietal
145,R_IP0_ROI,Right,Intraparietal Area 0,DorsalAttention,Parietal
146,R_PFop_ROI,Right,Opercular Area PF,DefaultMode,Parietal
147,R_PF_ROI,Right,Area PF (Supramarginal Gyrus),DefaultMode,Parietal
148,R_PFm_ROI,Right,Medial Area PF,DefaultMode,Parietal
149,R_PGi_ROI,Right,Inferior Area PG (Angular Gyrus),DefaultMode,Parietal
150,R_PGs_ROI,Right,Superior Area PG (Angular Gyrus),DefaultMode,Parietal
151,R_V6A_ROI,Right,Visual Area V6A,Visual,Dorsal
152,R_VMV1_ROI,Right,Ventromedial Visual Area 1,Visual,Ventral
153,R_VMV3_ROI,Right,Ventromedial Visual Area 3,Visual,Ventral
154,R_PHA2_ROI,Right,Parahippocampal Area 2,Limbic,Parahippocampal
155,R_V4t_ROI,Right,Visual Area V4 Transitional,Visual,Ventral
156,R_FST_ROI,Right,Fundus of the Superior Temporal Area,Visual,Dorsal
157,R_V3CD_ROI,Right,Visual Area V3 Dorsal Transition,Visual,Dorsal
158,R_LO3_ROI,Right,Lateral Occipital Area 3,Visual,Lateral
159,R_VMV2_ROI,Right,Ventromedial Visual Area 2,Visual,Ventral
160,R_31pd_ROI,Right,Dorsal Posterior Area 31,DefaultMode,PosteriorCingulate
161,R_31a_ROI,Right,Anterior Area 31,DefaultMode,PosteriorCingulate
162,R_VVC_ROI,Right,Ventral Visual Complex,Visual,Ventral
163,R_25_ROI,Right,Subgenual Area 25,CinguloOpercular,SubgenualCingulate
164,R_s32_ROI,Right,Subgenual Area 32,CinguloOpercular,SubgenualCingulate
165,R_pOFC_ROI,Right,Posterior Orbital Frontal Complex,Limbic,Orbitofrontal
166,R_PoI1_ROI,Right,Posterior Insula 1,CinguloOpercular,Insula
167,R_Ig_ROI,Right,Granular Insula,CinguloOpercular,Insula
168,R_FOP5_ROI,Right,Frontal Opercular Area 5,CinguloOpercular,FrontalOperculum
169,R_p10p_ROI,Right,Posterior Polar Area 10,DefaultMode,Prefrontal
170,R_p47r_ROI,Right,Posterior Rostral Area 47,Limbic,Orbitofrontal
171,R_TGv_ROI,Right,Ventral Temporal Gyrus,Temporal,Association
172,R_MBelt_ROI,Right,Auditory Parabelt Complex (Medial),Auditory,Belt
173,R_LBelt_ROI,Right,Auditory Parabelt Complex (Lateral),Auditory,Belt
174,R_A4_ROI,Right,Auditory Area 4,Auditory,Association
175,R_STSva_ROI,Right,Anterior Ventral Superior Temporal Sulcus,VentralAttention,Temporal
176,R_TE1m_ROI,Right,Middle TE1,Temporal,Inferotemporal
177,R_PI_ROI,Right,Parieto-Insular Vestibular Cortex,VentralAttention,Vestibular
178,R_a32pr_ROI,Right,Anterior Pregenual Area 32,CinguloOpercular,AnteriorCingulate
179,R_p24_ROI,Right,Posterior Cingulate Area 24,CinguloOpercular,MidCingulate
180,L_V1_ROI,Left,Primary Visual Cortex,Visual,EarlyRetinotopic
181,L_MST_ROI,Left,Medial Superior Temporal Area,Visual,Dorsal
182,L_V6_ROI,Left,Visual Area 6 (V6),Visual,Dorsal
183,L_V2_ROI,Left,Secondary Visual Cortex,Visual,EarlyRetinotopic
184,L_V3_ROI,Left,Visual Area 3,Visual,EarlyRetinotopic
185,L_V4_ROI,Left,Visual Area 4 (V4),Visual,Ventral
186,L_V8_ROI,Left,Visual Area 8,Visual,Ventral
187,L_4_ROI,Left,Primary Motor Cortex (M1),Motor,Primary
188,L_3b_ROI,Left,"Primary Somatosensory Cortex, Area 3b",Somatosensory,Primary
189,L_FEF_ROI,Left,Frontal Eye Field,DorsalAttention,Frontal
190,L_PEF_ROI,Left,Parietal Eye Field,DorsalAttention,Parietal
191,L_55b_ROI,Left,Area 55b (Premotor),Motor,Premotor
192,L_V3A_ROI,Left,Visual Area V3A,Visual,Dorsal
193,L_RSC_ROI,Left,Retrosplenial Complex,DefaultMode,Retrosplenial
194,L_POS2_ROI,Left,Parieto-Occipital Sulcus Area 2,Visual,Dorsal
195,L_V7_ROI,Left,Visual Area 7 (IPS0),Visual,Dorsal
196,L_IPS1_ROI,Left,Intraparietal Sulcus Area 1,DorsalAttention,Parietal
197,L_FFC_ROI,Left,Fusiform Face Complex,Visual,Ventral
198,L_V3B_ROI,Left,Visual Area V3B,Visual,Dorsal
199,L_LO1_ROI,Left,Lateral Occipital Area 1,Visual,Lateral
200,L_LO2_ROI,Left,Lateral Occipital Area 2,Visual,Lateral
201,L_PIT_ROI,Left,Posterior Inferotemporal Complex,Visual,Ventral
202,L_MT_ROI,Left,Middle Temporal Area (V5/MT+),Visual,Dorsal
203,L_A1_ROI,Left,Primary Auditory Cortex,Auditory,Core
204,L_PSL_ROI,Left,Perisylvian Language Area,Language,Perisylvian
205,L_SFL_ROI,Left,Superior Frontal Language Area,Frontoparietal,Language
206,L_PCV_ROI,Left,Precuneus Visual Area,DefaultMode,Precuneus
207,L_STV_ROI,Left,Superior Temporal Visual Area,VentralAttention,Temporal
208,L_7Pm_ROI,Left,Medial Area 7P,DorsalAttention,Parietal
209,L_7m_ROI,Left,Medial Area 7 (Precuneus),DorsalAttention,Parietal
210,L_POS1_ROI,Left,Parieto-Occipital Sulcus Area 1,Visual,Dorsal
211,L_23d_ROI,Left,Dorsal Area 23 (Posterior Cingulate),DefaultMode,PosteriorCingulate
212,L_v23ab_ROI,Left,Ventral Area 23a-b,DefaultMode,PosteriorCingulate
213,L_d23ab_ROI,Left,Dorsal Area 23a-b,DefaultMode,PosteriorCingulate
214,L_31pv_ROI,Left,Ventral Area 31,DefaultMode,PosteriorCingulate
215,L_5m_ROI,Left,Medial Area 5 (Superior Parietal Lobule),Somatosensory,Association
216,L_5mv_ROI,Left,Medioventral Area 5,Somatosensory,Association
217,L_23c_ROI,Left,Central Area 23,DefaultMode,PosteriorCingulate
218,L_5L_ROI,Left,Lateral Area 5,Somatosensory,Association
219,L_24dd_ROI,Left,Dorsal Area 24d,CinguloOpercular,AnteriorCingulate
220,L_24dv_ROI,Left,Ventral Area 24d,CinguloOpercular,AnteriorCingulate
221,L_7AL_ROI,Left,Anterolateral Area 7,DorsalAttention,Parietal
222,L_SCEF_ROI,Left,Supplementary and Cingulate Eye Field,Motor,Eye
223,L_6ma_ROI,Left,"Medial Area 6, anterior",Motor,Supplementary
224,L_7Am_ROI,Left,Anteromedial Area 7,DorsalAttention,Parietal
225,L_7PL_ROI,Left,Posterolateral Area 7,DorsalAttention,Parietal
226,L_7PC_ROI,Left,Superior Parietal Area 7PC,DorsalAttention,Parietal
227,L_LIPv_ROI,Left,"Lateral Intraparietal Area, ventral",DorsalAttention,Parietal
228,L_VIP_ROI,Left,Ventral Intraparietal Area,DorsalAttention,Parietal
229,L_MIP_ROI,Left,Medial Intraparietal Area,DorsalAttention,Parietal
230,L_1_ROI,Left,"Primary Somatosensory Cortex, Area 1",Somatosensory,Primary
231,L_2_ROI,Left,"Primary Somatosensory Cortex, Area 2",Somatosensory,Primary
232,L_3a_ROI,Left,"Primary Somatosensory Cortex, Area 3a",Somatosensory,Primary
233,L_6d_ROI,Left,"Dorsal Premotor Cortex, Area 6d",Motor,Premotor
234,L_6mp_ROI,Left,"Medial Area 6, posterior",Motor,Supplementary
235,L_6v_ROI,Left,"Ventral Premotor Cortex, Area 6v",Motor,Premotor
236,L_p24pr_ROI,Left,Pregenual Posterior Cingulate 24,CinguloOpercular,MidCingulate
237,L_33pr_ROI,Left,Pregenual Area 33,CinguloOpercular,AnteriorCingulate
238,L_a24pr_ROI,Left,Pregenual Anterior Cingulate 24,CinguloOpercular,AnteriorCingulate
239,L_p32pr_ROI,Left,Pregenual Posterior Area 32,CinguloOpercular,AnteriorCingulate
240,L_a24_ROI,Left,Anterior Cingulate Area 24,CinguloOpercular,AnteriorCingulate
241,L_d32_ROI,Left,Dorsal Area 32,CinguloOpercular,AnteriorCingulate
242,L_8BM_ROI,Left,Medial Area 8B,DefaultMode,Prefrontal
243,L_p32_ROI,Left,Posterior Area 32,CinguloOpercular,AnteriorCingulate
244,L_10r_ROI,Left,Rostral Area 10,DefaultMode,Prefrontal
245,L_47m_ROI,Left,Medial Area 47 (Orbitofrontal),Limbic,Orbitofrontal
246,L_8Av_ROI,Left,Ventral Area 8A,DefaultMode,Prefrontal
247,L_8Ad_ROI,Left,Dorsal Area 8A,DefaultMode,Prefrontal
248,L_9m_ROI,Left,Medial Area 9,DefaultMode,Prefrontal
249,L_8BL_ROI,Left,Lateral Area 8B,DefaultMode,Prefrontal
250,L_9p_ROI,Left,Posterior Area 9,DefaultMode,Prefrontal
251,L_10d_ROI,Left,Dorsal Area 10 (Frontopolar),DefaultMode,Prefrontal
252,L_8C_ROI,Left,Area 8C (Frontal Eye Field region),DefaultMode,Prefrontal
253,L_44_ROI,Left,"Area 44 (Pars Opercularis, Broca's Area)",Language,Broca
254,L_45_ROI,Left,"Area 45 (Pars Triangularis, Broca's Area)",Language,Broca
255,L_47l_ROI,Left,Lateral Area 47,Limbic,Orbitofrontal
256,L_a47r_ROI,Left,Rostral Area 47,Limbic,Orbitofrontal
257,L_6r_ROI,Left,Rostral Premotor Cortex,Motor,Premotor
258,L_IFJa_ROI,Left,Anterior Inferior Frontal Junction,Frontoparietal,IFJ
259,L_IFJp_ROI,Left,Posterior Inferior Frontal Junction,Frontoparietal,IFJ
260,L_IFSp_ROI,Left,Posterior Inferior Frontal Sulcus,Frontoparietal,IFS
261,L_IFSa_ROI,Left,Anterior Inferior Frontal Sulcus,Frontoparietal,IFS
262,L_p9-46v_ROI,Left,Posterior Ventral Area 9-46,Frontoparietal,VLPFC
263,L_46_ROI,Left,Area 46 (Dorsolateral Prefrontal),Frontoparietal,DLPFC
264,L_a9-46v_ROI,Left,Anterior Ventral Area 9-46,Frontoparietal,VLPFC
265,L_9-46d_ROI,Left,Dorsolateral Area 9-46,Frontoparietal,DLPFC
266,L_9a_ROI,Left,Anterior Area 9,DefaultMode,Prefrontal
267,L_10v_ROI,Left,Ventral Area 10,DefaultMode,Prefrontal
268,L_a10p_ROI,Left,Anterior Polar Area 10,DefaultMode,Prefrontal
269,L_10pp_ROI,Left,Polar Area 10,DefaultMode,Prefrontal
270,L_11l_ROI,Left,Lateral Area 11,Limbic,Orbitofrontal
271,L_13l_ROI,Left,Lateral Area 13,Limbic,Orbitofrontal
272,L_OFC_ROI,Left,Orbital Frontal Complex,Limbic,Orbitofrontal
273,L_47s_ROI,Left,Subcentral Area 47,Limbic,Orbitofrontal
274,L_LIPd_ROI,Left,"Lateral Intraparietal Area, dorsal",DorsalAttention,Parietal
275,L_6a_ROI,Left,"Anterior Premotor Cortex, Area 6a",Motor,Premotor
276,L_i6-8_ROI,Left,Inferior Area 6-8 Transition,Frontoparietal,Premotor
277,L_s6-8_ROI,Left,Superior Area 6-8 Transition,Frontoparietal,Premotor
278,L_43_ROI,Left,Area 43 (Gustatory Cortex),Other,Other
279,L_OP4_ROI,Left,Parietal Operculum 4,Somatosensory,Operculum
280,L_OP1_ROI,Left,Parietal Operculum 1,Somatosensory,Operculum
281,L_OP2-3_ROI,Left,Parietal Operculum 2-3,Somatosensory,Operculum
282,L_52_ROI,Left,Parainsular Area,Language,Parainsular
283,L_RI_ROI,Left,Retroinsular Cortex,Language,Retroinsular
284,L_PFcm_ROI,Left,Area PFcm (Inferior Parietal),DefaultMode,Parietal
285,L_PoI2_ROI,Left,Posterior Insula 2,CinguloOpercular,Insula
286,L_TA2_ROI,Left,Auditory Area TA2,Auditory,Association
287,L_FOP4_ROI,Left,Frontal Opercular Area 4,CinguloOpercular,FrontalOperculum
288,L_MI_ROI,Left,Middle Insular Area,CinguloOpercular,Insula
289,L_Pir_ROI,Left,Piriform Cortex,Limbic,Piriform
290,L_AVI_ROI,Left,Anterior Ventral Insular Area,CinguloOpercular,Insula
291,L_AAIC_ROI,Left,Anterior Agranular Insula Complex,CinguloOpercular,Insula
292,L_FOP1_ROI,Left,Frontal Opercular Area 1,CinguloOpercular,FrontalOperculum
293,L_FOP3_ROI,Left,Frontal Opercular Area 3,CinguloOpercular,FrontalOperculum
294,L_FOP2_ROI,Left,Frontal Opercular Area 2,CinguloOpercular,FrontalOperculum
295,L_PFt_ROI,Left,Transitional Area PF,DefaultMode,Parietal
296,L_AIP_ROI,Left,Anterior Intraparietal Area,VentralAttention,Parietal
297,L_EC_ROI,Left,Entorhinal Cortex,Limbic,MedialTemporal
298,L_PreS_ROI,Left,Presubiculum,Limbic,MedialTemporal
299,L_H_ROI,Left,Hippocampus (Cortical),Limbic,MedialTemporal
300,L_ProS_ROI,Left,Prosubiculum,Limbic,MedialTemporal
301,L_PeEc_ROI,Left,Perirhinal Ectocortex,Limbic,MedialTemporal
302,L_STGa_ROI,Left,Anterior Superior Temporal Gyrus,VentralAttention,Temporal
303,L_PBelt_ROI,Left,Auditory Parabelt Complex (Posterior),Auditory,Belt
304,L_A5_ROI,Left,Auditory Area 5,Auditory,Association
305,L_PHA1_ROI,Left,Parahippocampal Area 1,Limbic,Parahippocampal
306,L_PHA3_ROI,Left,Parahippocampal Area 3,Limbic,Parahippocampal
307,L_STSda_ROI,Left,Anterior Dorsal Superior Temporal Sulcus,VentralAttention,Temporal
308,L_STSdp_ROI,Left,Posterior Dorsal Superior Temporal Sulcus,VentralAttention,Temporal
309,L_STSvp_ROI,Left,Posterior Ventral Superior Temporal Sulcus,VentralAttention,Temporal
310,L_TGd_ROI,Left,Dorsal Temporal Gyrus,Temporal,Association
311,L_TE1a_ROI,Left,Anterior TE1 (Inferotemporal),Temporal,Inferotemporal
312,L_TE1p_ROI,Left,Posterior TE1,Temporal,Inferotemporal
313,L_TE2a_ROI,Left,Anterior TE2,Temporal,Inferotemporal
314,L_TF_ROI,Left,Area TF (Parahippocampal),Limbic,Parahippocampal
315,L_TE2p_ROI,Left,Posterior TE2,Temporal,Inferotemporal
316,L_PHT_ROI,Left,Posterior Parahippocampal Area,Limbic,Parahippocampal
317,L_PH_ROI,Left,Parahippocampal Area,Limbic,Parahippocampal
318,L_TPOJ1_ROI,Left,Temporoparietal Occipital Junction 1,VentralAttention,Junction
319,L_TPOJ2_ROI,Left,Temporoparietal Occipital Junction 2,VentralAttention,Junction
320,L_TPOJ3_ROI,Left,Temporoparietal Occipital Junction 3,VentralAttention,Junction
321,L_DVT_ROI,Left,Dorsal Transitional Visual Area,Visual,Dorsal
322,L_PGp_ROI,Left,Posterior Area PG,DefaultMode,Parietal
323,L_IP2_ROI,Left,Intraparietal Area 2,DorsalAttention,Parietal
324,L_IP1_ROI,Left,Intraparietal Area 1,DorsalAttention,Parietal
325,L_IP0_ROI,Left,Intraparietal Area 0,DorsalAttention,Parietal
326,L_PFop_ROI,Left,Opercular Area PF,DefaultMode,Parietal
327,L_PF_ROI,Left,Area PF (Supramarginal Gyrus),DefaultMode,Parietal
328,L_PFm_ROI,Left,Medial Area PF,DefaultMode,Parietal
329,L_PGi_ROI,Left,Inferior Area PG (Angular Gyrus),DefaultMode,Parietal
330,L_PGs_ROI,Left,Superior Area PG (Angular Gyrus),DefaultMode,Parietal
331,L_V6A_ROI,Left,Visual Area V6A,Visual,Dorsal
332,L_VMV1_ROI,Left,Ventromedial Visual Area 1,Visual,Ventral
333,L_VMV3_ROI,Left,Ventromedial Visual Area 3,Visual,Ventral
334,L_PHA2_ROI,Left,Parahippocampal Area 2,Limbic,Parahippocampal
335,L_V4t_ROI,Left,Visual Area V4 Transitional,Visual,Ventral
336,L_FST_ROI,Left,Fundus of the Superior Temporal Area,Visual,Dorsal
337,L_V3CD_ROI,Left,Visual Area V3 Dorsal Transition,Visual,Dorsal
338,L_LO3_ROI,Left,Lateral Occipital Area 3,Visual,Lateral
339,L_VMV2_ROI,Left,Ventromedial Visual Area 2,Visual,Ventral
340,L_31pd_ROI,Left,Dorsal Posterior Area 31,DefaultMode,PosteriorCingulate
341,L_31a_ROI,Left,Anterior Area 31,DefaultMode,PosteriorCingulate
